B3 1SW,Yes,52.484286,-1.90695,406416,287378,SP064873,"West Midlands","Birmingham","Soho & Jewellery Quarter",E08000025,E05011168,England,E11000018,"Birmingham, Ladywood",1992-01-01,,"Birmingham, unparished area","",,,"West Midlands","Birmingham","Birmingham 138C","Urban major conurbation",West Midlands,130,,E01033623,,E02006899,"Birmingham 138",E43000250,E00175708,E14000564,5997,1,0,2019-02-23,"Birmingham Snow Hill",0.541909,B,B3
B3 1SX,No,52.484486,-1.91013,406200,287400,SP062873,"West Midlands","Birmingham","Soho & Jewellery Quarter",E08000025,E05011168,England,E11000018,"Birmingham, Ladywood",1980-01-01,1983-12-01,"Birmingham, unparished area","",,,"West Midlands","Birmingham","Birmingham 138C","Urban major conurbation",West Midlands,136,,E01033623,,E02006899,"Birmingham 138",E43000250,E00175708,E14000564,5997,8,1,2019-02-23,"Jewellery Quarter",0.588284,B,B3
B3 1SY,No,52.47666,-1.903535,406649,286530,SP066865,"West Midlands","Birmingham","Ladywood",E08000025,E05011151,England,E11000018,"Birmingham, Ladywood",1996-06-01,2006-03-01,"Birmingham, unparished area","",,,"West Midlands","Birmingham","Birmingham 138D","Urban major conurbation",West Midlands,141,,E01033625,,E02006899,"Birmingham 138",E43000250,E00175658,E14000564,12673,1,1,2019-02-23,"Birmingham New Street",0.259589,B,B3
B3 1SZ,Yes,52.484944,-1.909555,406239,287451,SP062874,"West Midlands","Birmingham","Soho & Jewellery Quarter",E08000025,E05011168,England,E11000018,"Birmingham, Ladywood",1980-01-01,,"Birmingham, unparished area","",,,"West Midlands","Birmingham","Birmingham 138C","Urban major conurbation",West Midlands,138,,E01033623,,E02006899,"Birmingham 138",E43000250,E00175708,E14000564,5997,1,1,2019-02-23,"Jewellery Quarter",0.557159,B,B3
B3 1TA,No,52.485385,-1.910128,406200,287500,SP062874,"West Midlands","Birmingham","Soho & Jewellery Quarter",E08000025,E05011168,England,E11000018,"Birmingham, Ladywood",1998-12-01,1999-06-01,"Birmingham, unparished area","",,,"West Midlands","Birmingham","Birmingham 138C","Urban major conurbation",West Midlands,141,,E01033623,,E02006899,"Birmingham 138",E43000250,E00175708,E14000564,5997,8,1,2019-02-23,"Jewellery Quarter",0.496201,B,B3
B3 1TB,No,52.485663,-1.90917,406265,287531,SP062875,"West Midlands","Birmingham","Soho & Jewellery Quarter",E08000025,E05011168,England,E11000018,"Birmingham, Ladywood",1980-01-01,2001-11-01,"Birmingham, unparished area","",,,"West Midlands","Birmingham","Birmingham 138C","Urban major conurbation",West Midlands,140,,E01033623,,E02006899,"Birmingham 138",E43000250,E00175708,E14000564,5997,1,1,2019-02-23,"Jewellery Quarter",0.500622,B,B3
B3 1TD,No,52.47666,-1.903535,406649,286530,SP066865,"West Midlands","Birmingham","Ladywood",E08000025,E05011151,England,E11000018,"Birmingham, Ladywood",2000-12-01,2002-03-01,"Birmingham, unparished area","",,,"West Midlands","Birmingham","Birmingham 138D","Urban major conurbation",West Midlands,141,,E01033625,,E02006899,"Birmingham 138",E43000250,E00175658,E14000564,12673,1,1,2019-02-23,"Birmingham New Street",0.259589,B,B3
B3 1TE,Yes,52.48727,-1.905913,406486,287710,SP064877,"West Midlands","Birmingham","Soho & Jewellery Quarter",E08000025,E05011168,England,E11000018,"Birmingham, Ladywood",1996-06-01,,"Birmingham, unparished area","",93,74,"West Midlands","Birmingham","Birmingham 138C","Urban major conurbation",West Midlands,132,,E01033623,,E02006899,"Birmingham 138",E43000250,E00175654,E14000564,5997,1,0,2019-02-23,"Jewellery Quarter",0.549466,B,B3
B3 1TH,Yes,52.485654,-1.90864,406301,287530,SP063875,"West Midlands","Birmingham","Soho & Jewellery Quarter",E08000025,E05011168,England,E11000018,"Birmingham, Ladywood",1980-01-01,,"Birmingham, unparished area","",,,"West Midlands","Birmingham","Birmingham 138C","Urban major conurbation",West Midlands,137,,E01033623,,E02006899,"Birmingham 138",E43000250,E00175708,E14000564,5997,1,0,2019-02-23,"Jewellery Quarter",0.52189,B,B3
B3 1TJ,No,52.485663,-1.90917,406265,287531,SP062875,"West Midlands","Birmingham","Soho & Jewellery Quarter",E08000025,E05011168,England,E11000018,"Birmingham, Ladywood",1994-12-01,1997-06-01,"Birmingham, unparished area","",,,"West Midlands","Birmingham","Birmingham 138C","Urban major conurbation",West Midlands,140,,E01033623,,E02006899,"Birmingham 138",E43000250,E00175708,E14000564,5997,8,1,2019-02-23,"Jewellery Quarter",0.500622,B,B3
